source,comments,timestamp,text_clean,text_refined,text_for_lda,text_for_bertopic
maps,"paginya pergi kesini dan di arahkan harus ke kecamatan atau online,terus saya pergi ke kecamatan masih jam istirahat okelaah gpp saya tunggu.. setelah sudah buka dan ternyata di suruh online …",,paginya pergi kesini dan di arahkan harus ke kecamatan atau online terus saya pergi ke kecamatan masih jam istirahat okelaah gpp saya tunggu setelah sudah buka dan ternyata di suruh online,paginya pergi kesini dan di arahkan harus ke kecamatan atau online terus saya pergi ke kecamatan masih jam istirahat okelaah gpp saya tunggu setelah sudah buka dan ternyata di suruh online,paginya pergi kesini arahkan kecamatan online pergi kecamatan jam istirahat okelaah gpp tunggu buka suruh online,paginya pergi kesini dan di arahkan harus ke kecamatan atau online terus saya pergi ke kecamatan masih jam istirahat okelaah gpp saya tunggu setelah sudah buka dan ternyata di suruh online
maps,"saya daftar online, tinggal cetak KTP nya, sama security nya malah di arahkan ke kelurahan, security nya tolong di ganti aja dari pada kerjaan ngobrol sama temen nya ga guna",,saya daftar online tinggal cetak ktp nya sama security nya malah di arahkan ke kelurahan security nya tolong di ganti aja dari pada kerjaan ngobrol sama temen nya ga guna,saya daftar online tinggal cetak ktp nya sama security nya malah di arahkan ke kelurahan security nya tolong di ganti aja dari pada kerjaan ngobrol sama temen nya tidak guna,daftar online tinggal cetak ktp security arahkan kelurahan security ganti kerjaan ngobrol temen tidak,saya daftar online tinggal cetak ktp nya sama security nya malah di arahkan ke kelurahan security nya di ganti aja dari pada kerjaan ngobrol sama temen nya tidak guna
maps,Gimana ini.urus kk online malah tambah lama..2bulan ga selesai2..tinggal penerbitan aja tp ga terbit2..mau nunggu sampai kapan..pengajuan bulan juni sampai akhir agustus ga kelar2..bagian penerbitan kk gimana kok ga terbit2..,,gimana ini urus kk online malah tambah lama bulan ga selesai tinggal penerbitan aja tp ga terbit mau nunggu sampai kapan pengajuan bulan juni sampai akhir agustus ga kelar bagian penerbitan kk gimana kok ga terbit,gimana ini urus kartu keluarga online malah tambah lama bulan tidak selesai tinggal penerbitan aja tp tidak terbit mau nunggu sampai kapan pengajuan bulan juni sampai akhir agustus tidak kelar bagian penerbitan kartu keluarga gimana kok tidak terbit,gimana urus kartu keluarga online tidak selesai tinggal penerbitan tp tidak terbit nunggu pengajuan juni agustus tidak kelar penerbitan kartu keluarga gimana tidak terbit,gimana ini urus kartu keluarga online malah tambah lama bulan tidak selesai tinggal penerbitan aja tp tidak terbit mau nunggu sampai kapan pengajuan bulan juni sampai akhir agustus tidak kelar bagian penerbitan kartu keluarga gimana kok tidak terbit
maps,"Saya dpt nomor WA dispendukcapil sby ini dari ruang informasi di siola, namun yg disayangkan kenapa tidak disertakan didalam website dispendukcapil juga agar masyarakat lebih mudah mendapatkan informasi! …",,saya dpt nomor wa dispendukcapil sby ini dari ruang informasi di siola namun yg disayangkan kenapa tidak disertakan didalam website dispendukcapil juga agar masyarakat lebih mudah mendapatkan informasi,saya dpt nomor whatsapp dispendukcapil surabaya ini dari ruang informasi di siola namun yang disayangkan kenapa tidak disertakan didalam website dispendukcapil juga agar masyarakat lebih mudah mendapatkan informasi,dpt nomor whatsapp ruang informasi disayangkan tidak disertakan didalam website masyarakat mudah informasi,saya dpt nomor whatsapp ini dari ruang informasi di namun yang disayangkan kenapa tidak disertakan didalam website juga agar masyarakat lebih mudah mendapatkan informasi
maps,Baik cepat dan gratis,,baik cepat dan gratis,baik cepat dan gratis,cepat gratis,baik cepat dan gratis
maps,"callcenternya sibuk terus, tolong di perbaiki, atau di kasih nomor yang lain",,callcenternya sibuk terus tolong di perbaiki atau di kasih nomor yang lain,callcenternya sibuk terus tolong di perbaiki atau di kasih nomor yang lain,callcenternya sibuk perbaiki nomor,callcenternya sibuk terus di perbaiki atau di nomor yang lain
maps,"Pelayanan bagus, tapi yang kurang yaitu stabilitas jaringannya. Mohon stabilitas jaringannya diperhatikan, supaya tidak menghambat proses pembuatan KTP sementaranya. Terima kasih 🙏. …",,pelayanan bagus tapi yang kurang yaitu stabilitas jaringannya mohon stabilitas jaringannya diperhatikan supaya tidak menghambat proses pembuatan ktp sementaranya terima kasih,pelayanan bagus tapi yang kurang yaitu stabilitas jaringannya mohon stabilitas jaringannya diperhatikan supaya tidak menghambat proses pembuatan ktp sementaranya terima kasih,pelayanan bagus kurang stabilitas jaringannya stabilitas jaringannya diperhatikan tidak menghambat proses pembuatan ktp,pelayanan bagus tapi yang kurang yaitu stabilitas jaringannya stabilitas jaringannya diperhatikan supaya tidak menghambat proses pembuatan ktp sementaranya
maps,Apa di indonesia masih ada blangko untuk ktp? Saya di kota mojokerto tidak ada blangko e ktp?,,apa di indonesia masih ada blangko untuk ktp saya di kota mojokerto tidak ada blangko e ktp,apa di indonesia masih ada blangko untuk ktp saya di kota mojokerto tidak ada blangko ktp,indonesia blangko ktp kota mojokerto tidak blangko ktp,apa di indonesia masih ada blangko untuk ktp saya di kota mojokerto tidak ada blangko ktp
maps,"Waaah  gila sih semua sistem online pas tanya2 suruh telepon, dan cuma 1 nomor telponn itu doang aksesnya tapi pas telpon malah diangkat dimatikan tanpa jawaban.  Berkali2 sprti itu malah habis2in pulsa,   Gila2 pelayan publik tapi sekonyol ini .",,waaah gila sih semua sistem online pas tanya suruh telepon dan cuma nomor telponn itu doang aksesnya tapi pas telpon malah diangkat dimatikan tanpa jawaban berkali sprti itu malah habisin pulsa gila pelayan publik tapi sekonyol ini,waaah gila sih semua sistem online pas tanya suruh telepon dan cuma nomor telponn itu doang aksesnya tapi pas telpon malah diangkat dimatikan tanpa jawaban berkali sprti itu malah habisin pulsa gila pelayan publik tapi sekonyol ini,waaah gila sistem online suruh telepon nomor telponn aksesnya telpon diangkat dimatikan sprti habisin pulsa gila pelayan publik sekonyol,waaah gila sih semua sistem online pas suruh telepon dan cuma nomor telponn itu doang aksesnya tapi pas telpon malah diangkat dimatikan tanpa jawaban berkali sprti itu malah habisin pulsa gila pelayan publik tapi sekonyol ini
maps,"Untuk pengurusan di dukcapil akses lokasi susah bagi orang lanjut usia. Kalau parkir dalam gedung harus naik turun tangga, kalau parkir diluar gedung harus berjalan jauh.",,untuk pengurusan di dukcapil akses lokasi susah bagi orang lanjut usia kalau parkir dalam gedung harus naik turun tangga kalau parkir diluar gedung harus berjalan jauh,untuk pengurusan di dukcapil akses lokasi susah bagi orang lanjut usia kalau parkir dalam gedung harus naik turun tangga kalau parkir diluar gedung harus berjalan jauh,pengurusan dukcapil akses lokasi susah orang usia parkir gedung turun tangga parkir diluar gedung berjalan,untuk pengurusan di dukcapil akses lokasi susah bagi orang lanjut usia kalau parkir dalam gedung harus naik turun tangga kalau parkir diluar gedung harus berjalan jauh
